,additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker,maturity,volume,price,daysFromLastTrade
0,,OPASPS,put,,american,2023-03-31,BATO,100,50,O:AAPL230331P00050000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,55,O:AAPL230331P00055000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,60,O:AAPL230331P00060000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,65,O:AAPL230331P00065000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,70,O:AAPL230331P00070000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,75,O:AAPL230331P00075000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,80,O:AAPL230331P00080000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,85,O:AAPL230331P00085000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,90,O:AAPL230331P00090000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,95,O:AAPL230331P00095000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,100,O:AAPL230331P00100000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,105,O:AAPL230331P00105000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,110,O:AAPL230331P00110000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,115,O:AAPL230331P00115000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,120,O:AAPL230331P00120000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,125,O:AAPL230331P00125000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,130,O:AAPL230331P00130000,AAPL,0.010958904109589041,3180,0.5475,19442
0,,OPASPS,put,,american,2023-03-31,BATO,100,131,O:AAPL230331P00131000,AAPL,0.010958904109589041,3180,0.5475,19442
